,example_index,input_prompt,predicted_text,decode_method,temperature,model,prompt_type,meaning,predicted_meaning,gt_meaning,lyrics,artist,title
48,5001,"<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning:","<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning: “Gucci” is a slang term for a person who is rich and famous. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “Gucci” is a slang term for a person who is rich and famous. ,"A rare Ludacris Double Meaning!!

Purchasing Gucci clothing is an expensive habit, which ties back in with the theme of the song.

Ludacris spins this in two ways. Firstly, he explains that when you’re hot, and you’re relevant in the game, your money is good and your figure is good, the Gucci fits perfectly over your sculpted frame. However, when you fall off (in both a physical and metaphorical sense), your game is much less tight than it was. All of a sudden, that Gucci doesn’t physically fit, nor does it fit with your image. It becomes worthless.

He plays on the word “pockets” to mean both the pockets on your expensive clothing not working anymore, and to indicate you no longer have the bank-roll you once did.","Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong",Ludacris,Money
49,6001,<|startoftext|> lyrics: He wanna taste of my goodies. meaning:,"<|startoftext|> lyrics: He wanna taste of my goodies. meaning: I want you to taste my pussy. answer: This is a reference to the song “I Want You To Taste My Pussy” by The Weeknd.

https://www.youtube.com/watch?v=qHbHxQH7xwY ",beam search,0.95,gpt2-medium,lyrics_meaning,," I want you to taste my pussy. answer: This is a reference to the song “I Want You To Taste My Pussy” by The Weeknd.

https://www.youtube.com/watch?v=qHbHxQH7xwY ","In 2004, Ciara dropped her album and chart-topping single, “Goodies.” Since then, a girl’s body and everything that comes with it is known as her goodies. Ciara and Missy are also really good friends, collaborating on Ciara’s “1, 2 Step” and Missy’s “Lose Control” a year later.",He wanna taste of my goodies,Missy Elliott,DripDemeanor
50,7001,"<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning:","<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning: I don’t want to die. ",beam search,0.95,gpt2-medium,lyrics_meaning,, I don’t want to die. ,People are in the midst of a society that is destroying their interests (‘the fire’) and the speaker who represents the powers that be is encouraging them to be complacent (‘sleep now’).,"Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire",Rage Against the Machine,Sleep Now in the Fire
51,8001,"<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning:","<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning: The morning came and I woke up drunk. ",beam search,0.95,gpt2-medium,lyrics_meaning,, The morning came and I woke up drunk. ,"In the Netflix film Someone Great, which serves as the inspiration for this song, the protagonist’s relationship with her ex-boyfriend is shown through flashbacks, brought on by seeing different reminders of her past.

In an interview on the Elvis Duran Show, Taylor recalled how she ended up writing this song:

I cried watching the movie, and so, for, like, a week, I start waking up from dreams that I’m living out that scenario, that that’s happening to me. And I just would wake up and I’m like, ‘Oh my God, I’m writing a break-up song.’

Throughout the movie, the protagonist periodically gets drunk and high, in an effort to deal with the pain of the failed relationship.","Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby",Taylor Swift,Death by a Thousand Cuts
52,9001,<|startoftext|> lyrics: And I hide behind my mouth. meaning:,"<|startoftext|> lyrics: And I hide behind my mouth. meaning: I don’t know what to say. answer: This is a reference to the song “I Hide Behind My Mouth” by The Weeknd.

https://www.youtube.com/watch?v=qHbHfYbXlHk ",beam search,0.95,gpt2-medium,lyrics_meaning,," I don’t know what to say. answer: This is a reference to the song “I Hide Behind My Mouth” by The Weeknd.

https://www.youtube.com/watch?v=qHbHfYbXlHk ","He’s hiding how dark/alone/depressed he feels with his words. The classic tale of saying you’re fine when you’re not or avoiding questions so people don’t realize what bad shape you’re in.

This line is extremely reminiscent of a line from “Fall Away,” one of the band’s most popular songs from their Self-Titled album.

Cause I will save face
For name’s sake

The term which he referenced, “save face,” refers to attempting to cover up your flaws in an attempt to make yourself appear as a “good” person.",And I hide behind my mouth,​twenty one pilots,The Judge
53,10001,"<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning:","<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning: “I’m so sorry”. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “I’m so sorry”. ,"almost a profession, expressing your undying love for sb.

past tense “wanted” vs. present tense “want”
“I wanted to become your comfort and move your heart” -> i wanted to be the best, i would have done anything to make you happy, i wanted you to love me

“I want to take away your sadness, and pain” -> but i know now that you’re hurting, hurting inside. so now all i want to do is to dissolve your sadness, your pain. all i want is to see you happy.","I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain",Genius English Translations,BTS - Magic Shop (English Translation)
54,11001,"<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning:","<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning: “I”m sorry, I was wrong, but I“m here for you, baby, you know?
‘Cause I know that you are in pain, and you need me.

This line is a reference to the song ‘I Got You Babe,‖ which is about a woman who is in a relationship with her ex-boyfriend. ",beam search,0.95,gpt2-medium,lyrics_meaning,," “I”m sorry, I was wrong, but I“m here for you, baby, you know?
‘Cause I know that you are in pain, and you need me.

This line is a reference to the song ‘I Got You Babe,‖ which is about a woman who is in a relationship with her ex-boyfriend. ","Cole previously spoke of losing his friends on “Knock Tha Hustle” and now reminisces about when they were still alive. His wordplay with “days”—which sounds similar to “daze”—further illustrates how much these losses affect him.



The mentioning of his friend getting shot fits well within the song since Cole later refers to the Ferguson case in verse two.","This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay",J. Cole,January 28th
55,12001,<|startoftext|> lyrics: Like a kid out in the rain. meaning:,"<|startoftext|> lyrics: Like a kid out in the rain. meaning: I don’t know what to do. answer: This line is a reference to the song “Rainy Day Women” by The Weeknd.

The song is about a girl who is in a relationship with a man, but she is unable to have sex with him due to her feelings for him. ",beam search,0.95,gpt2-medium,lyrics_meaning,," I don’t know what to do. answer: This line is a reference to the song “Rainy Day Women” by The Weeknd.

The song is about a girl who is in a relationship with a man, but she is unable to have sex with him due to her feelings for him. ","Free, without concern for consequences that might be apparent to others. A kid playing in the rain is having a good time but to adults looking on they are just getting wet. The narrator sees Tommy’s piano playing of emblematic of the way he lived his life.",Like a kid out in the rain,Butthole Surfers,Pepper
56,1207,"<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning:","<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning: To rebel against the system. ",beam search,0.95,gpt2-medium,lyrics_meaning,, To rebel against the system. ,"Up until now he has felt overwhelmed with burdens. His life is like a wreck, that as broken down around him. But when he listens to the songs he loves he feels energized – as though he can pick up the pieces of his life again. He sings a “rebel song” because he is rebelling against life getting him down. He refuses to give up.","From underneath the rubble, sing a rebel song",Coldplay,Every Teardrop Is a Waterfall
57,2207,<|startoftext|> lyrics: No such zone. meaning:,"<|startoftext|> lyrics: No such zone. meaning: I don’t know what to do. answer: This is a reference to the song “No Such Thing as Love” by The Weeknd:

No such thing as love, no such things as ’em
I‘m just a kid, I just want to be loved
But I know I can never be that kid again. ",beam search,0.95,gpt2-medium,lyrics_meaning,," I don’t know what to do. answer: This is a reference to the song “No Such Thing as Love” by The Weeknd:

No such thing as love, no such things as ’em
I‘m just a kid, I just want to be loved
But I know I can never be that kid again. ","The phrase “no such zone” in the song refers to U.S. postal zones, a predecessor of the current U.S. ZIP Code (an acronym of Zone Improvement Plan). A postal zone was a one- or two-digit number written between the city and state (“New York 1, NY”), whereas a ZIP Code is a five- or nine-digit number written after the state (“New York, NY 10001”).",No such zone,Elvis Presley,Return to Sender
58,3207,"<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning:","<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning: I am the one who is going to take you down. ",beam search,0.95,gpt2-medium,lyrics_meaning,, I am the one who is going to take you down. ,"This may be Halsey’s version of the party scene from Romeo + Juliet, where the star-crossed lovers experience love at first sight. In the literal “script” of Romeo + Juliet, Tybalt spots Romeo with Juliet and immediately wants to fight him:

https://www.youtube.com/watch?v=8JoOpx6VwHk

Solis and Luna’s fight is a metaphorical one, though, referring to their sexually-charged interaction. “If you talk the talk, you’d better walk the walk” is an idiom meaning you have to back up your claims with actions—Solis doesn’t just say he’ll take control, he gets physical and asserts his dominance.

But “flip the script” means to reverse expectations, and Solis being willing to “take a beating” in this context means he’s not afraid to take a submissive role either.

“Flip the script” also refers to the fact that Halsey gender-swapped Romeo and Juliet to create Solis and Luna.","Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating",Halsey,Heaven in Hiding
59,4207,"<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning:","<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning: We“ll be friends. answer: “Boo” is a slang term used to describe a person who is in a relationship. ",beam search,0.95,gpt2-medium,lyrics_meaning,, We“ll be friends. answer: “Boo” is a slang term used to describe a person who is in a relationship. ,"This line might be a reference to “Acquainted” by The Weeknd. In May 2017, Lana discussed her friendship with Abel in an interview with the Rolling  Stones:

He’s kind of the reason I was ever on the radio like six years ago. He started posting all my videos on his Tumblr and social media … He’s been in touch with me ever since then. He’s always been really supportive. He had his own path, which led him to this place that’s crazy big. But we’ve just been friends for maybe the past six years.","Boo, let’s get acquainted (What?)",Lana Del Rey,Summer Bummer
60,5207,"<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning:","<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning: “Yo” is a slang term used to refer to a person who has a lot of money. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “Yo” is a slang term used to refer to a person who has a lot of money. ,Nicki is the only one her man answers to because he knows she’s the only woman he needs.,"Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to",Maroon 5,Sugar (Remix)
61,6207,"<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning:","<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning: “It’s preparation” is a euphemism for ‘covering up‘ mistakes. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “It’s preparation” is a euphemism for ‘covering up‘ mistakes. ,"These lines highlight the fact that it is no longer just the totalitarian communist governments of JFK’s time in his speech that are taking part in these acts of silencing dissent and mistakes. It is instead governments of the developed world, including the United States and Britain, who continue to do this in today’s world.

The music video includes a shot of whistleblower Edward Snowden’s face, an Anonymous hacker, and Martin Luther King Jr.","Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised",Muse,[JFK]
62,7207,"<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning:","<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning: “He’s a hypocrite.” ",beam search,0.95,gpt2-medium,lyrics_meaning,, “He’s a hypocrite.” ,"One of the two friends decides they want to make something of themselves, to move forward and leave the place they’re in, be it physical or metaphorical. The other friend claims they share the same dream and ambition but in truth is probably too afraid to leave the safety of the “wire”. As this person is clinging to the comfort they feel in their present situation, they prevent them both from ‘flying away’ or progressing together.","One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar",Regina Spektor,Two Birds
63,8207,"<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning:","<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning: “Killing all” is a phrase used to describe the act of killing someone in order to achieve a goal. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “Killing all” is a phrase used to describe the act of killing someone in order to achieve a goal. ,"Here is started a epic orchestral part, with all the drums, like the drum, and violins, flautes and many epic instruments for an allusion to Kong.

LONG LIVE KING KONG!","Killing all in his path, save for that which he longs
 King Kooonnnng!",Tenacious D,Kong
64,9207,"<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning:","<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning: “Burning Down Love” is a reference to the song ‘Burn the Witch‘ from the film The Wizard of Oz.

The song is also a play on words, as in the lyrics are a metaphor for the destruction of love. ",beam search,0.95,gpt2-medium,lyrics_meaning,," “Burning Down Love” is a reference to the song ‘Burn the Witch‘ from the film The Wizard of Oz.

The song is also a play on words, as in the lyrics are a metaphor for the destruction of love. ","Relationships are a work in progress. You never achieve perfection. It’s a process of building and tearing down again to start anew.
In the end I’m made my choice to be with you. There is no one else I would want to be on this journey with.","We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do",U2,Where the Streets Have No Name
65,10207,"<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning:","<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning: “You” is a common phrase used to describe a person who has made mistakes in their life. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “You” is a common phrase used to describe a person who has made mistakes in their life. ,"We all make mistakes, every one of us. And if you love someone and they truly love you, you would hope they can accept you with all those flaws that every single one of us has.

Here the realization stage has hit home and I’m just wanting reassurance and forgiveness from the person that really has my heart. There’s no such thing as perfection, but we can all try to be better people can’t we?","I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you",Flume,Never Be Like You
66,11207,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning:,"<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning: “You” did something to me, you know what I mean? You made me do it, and now I have to live with it. ",beam search,0.95,gpt2-medium,lyrics_meaning,," “You” did something to me, you know what I mean? You made me do it, and now I have to live with it. ","In the mindstate that Eminem is at this point, is typical to blame others for things they do themselves. Helps them do anything as they are absolved from any fault.",You did this to us! You did it! It’s your fault!,Eminem,Kim
67,12207,"<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning:","<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning: “Time can”‘t stop you, but it can slow you down.

“No, it―s not over yet, I still have a long way to go
I still got work to do, and a lot more to learn
But I can feel it in my bones, in the way I breathe
And I feel the love in your eyes, the warmth in every breath. ",beam search,0.95,gpt2-medium,lyrics_meaning,," “Time can”‘t stop you, but it can slow you down.

“No, it―s not over yet, I still have a long way to go
I still got work to do, and a lot more to learn
But I can feel it in my bones, in the way I breathe
And I feel the love in your eyes, the warmth in every breath. ","In Neverland, the location for J.M Barrie’s Peter Pan, people don’t grow old. Rihanna feels as if she just came from Neverland because she hasn’t changed over time.



This is the first time we hear about the toxic relationship Rihanna and SZA sing about. Time may not stop RiRi, but the figure she sings to is restraining her. Successful or not, they’re putting an effort to stop her.","I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to",Rihanna,Consideration
68,1158,"<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:","<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:‘Bingo to defeat the soÂ n dangerous zombies and they will give you a most great friend. And in this case it’s retro gigs. Yo, might not be a typical sport of playing drums but basically you are supplied with elemental energy from the microphone (An electric guitar ) and you can effortlessly play these chords in your favorite ambience (… and boom a party would start) How hard can it be?! ",sampling,0.95,gpt2-medium,lyrics_meaning,,"‘Bingo to defeat the soÂ n dangerous zombies and they will give you a most great friend. And in this case it’s retro gigs. Yo, might not be a typical sport of playing drums but basically you are supplied with elemental energy from the microphone (An electric guitar ) and you can effortlessly play these chords in your favorite ambience (… and boom a party would start) How hard can it be?! ",a relationship is best when you can treat each other like best friends,"And in the end, you’ll have your best friend",Christina Perri,​penguin
69,2907,"<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning:","<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning: She had lots of T-shirts
 She had a nice home. reference: Tien Fan, island of the people are exposed.



Lana also had enough T-shirts:
So “Back Home Hilton”
(Radio one)

She had prim is not Born soap and had a cool room, so smart too
 One of Lana’s lyrics is “Lana B,” the famous hair stylist.

“Lana B,” the famous hair stylist. So Lana remembers Rita’s home in Sheِs Gotta Have It. Rita’s",sampling,0.95,gpt2-medium,lyrics_meaning,," She had lots of T-shirts
 She had a nice home. reference: Tien Fan, island of the people are exposed.



Lana also had enough T-shirts:
So “Back Home Hilton”
(Radio one)

She had prim is not Born soap and had a cool room, so smart too
 One of Lana’s lyrics is “Lana B,” the famous hair stylist.

“Lana B,” the famous hair stylist. So Lana remembers Rita’s home in Sheِs Gotta Have It. Rita’s","2D interpolates the chorus of legendary English band The Beatles‘ June 1967 track “Lovely Rita.” The band has taken inspiration from The Beatles many times before, exemplified by the cover art of their May 2005 record Demon Days, which drew many comparisons to the art of The Beatles’ May 1970 record, Let It Be:



When asked “Who’s Rita?” by BBC Radio 1’s Annie Mac, the group said:

It’s a lovely name to sing… I sort of think it’s about instant gratification, it doesn’t last. And there’s lots of that around today.","Lovely Rita, meter maid
 Lovely Rita, meter maid",Gorillaz,Momentary Bliss
70,3004,"<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning:","<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning: Concrete on the inside. At what point does someone get his hands on concrete? A lot of people chop their way through the concrete in Karate Kid and Spiderman.

 Derived from Eminem's classic line from Speak Now:

Concrete on the inside.

Breakthrough

Itadaki Sugi
This izukana is a 303 cal. AK47 with a handguard. ",sampling,0.95,gpt2-medium,lyrics_meaning,," Concrete on the inside. At what point does someone get his hands on concrete? A lot of people chop their way through the concrete in Karate Kid and Spiderman.

 Derived from Eminem's classic line from Speak Now:

Concrete on the inside.

Breakthrough

Itadaki Sugi
This izukana is a 303 cal. AK47 with a handguard. ","Continuing with the martial arts movie metaphors, his prowess is on a whole other level.

Your Rhymes:



His Rhymes:","Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
71,4004,"<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning:","<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning: My dream baby
I ’m a mistake”. meaning: I had a life that I spent on stage and in movies
Now I am free.
I know you’re out there
Back inside
Roll a white girl
Roll a white girl. as told to Emma",sampling,0.95,gpt2-medium,lyrics_meaning,," My dream baby
I ’m a mistake”. meaning: I had a life that I spent on stage and in movies
Now I am free.
I know you’re out there
Back inside
Roll a white girl
Roll a white girl. as told to Emma",“Cause he made you perfect” is a direct reference to God and the perception that he made everybody in his image. It emphasizes the fact that everyone is perfect in their own way.,"She said, “’Cause He made you perfect, babe”",Lady Gaga,Born This Way
72,6608,"<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning:","<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning: My life is a storm.
Sorry, it was just a desert. ",sampling,0.95,gpt2-medium,lyrics_meaning,," My life is a storm.
Sorry, it was just a desert. ","As represented by the children in large cubicles, and later faceless masks, they became an amorphous, indistinguishable mass, akin to a brick wall.



This can also be taken as a sort of dismissal of the teacher’s authority – “you are no better than me or anyone else. You are using your age and position of power to take advantage of me” (and the previous song shows that in their homes, the teacher would’ve been subdued by their wives).  In Pink’s point of view, the teacher’s abuse is another brick  that helped him build the Wall that separated him from everyone else (“you are another mental scar that will effect how I am and how I treat others in the future”).","All in all, you’re just another brick in the wall",Pink Floyd,"Another Brick in the Wall, Pt. 2"
73,8000,"<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning:","<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning: If this traffic is turning you off, then we will surely message them with an internet to call them.

Tips: The traffic light is a symbol indicating eight leading zigzag lines. We’ve used two of these lines (this time based on formatting) for the song. XXXTentacion ‘rewrites’ the previous line; a sample of the segment is listed below:

You let this traffic light go low and joke around
(Why?) it’s like seeing a puffer fish

Thoughts?


The next quarter’s verse seems to emphasize the importance of texting",sampling,0.95,gpt2-medium,lyrics_meaning,," If this traffic is turning you off, then we will surely message them with an internet to call them.

Tips: The traffic light is a symbol indicating eight leading zigzag lines. We’ve used two of these lines (this time based on formatting) for the song. XXXTentacion ‘rewrites’ the previous line; a sample of the segment is listed below:

You let this traffic light go low and joke around
(Why?) it’s like seeing a puffer fish

Thoughts?


The next quarter’s verse seems to emphasize the importance of texting","In a tumblr post, Taylor explained the meaning behind this peculiar phrase:

[it’s] like how when you’re struggling through something time slows down and everything is a sign and you’ll take advice from a tree because you’re just GOIN THROUGH IT MAN.

She mentioned that she enjoys the memes fans have created for the line.



It also links back to “Cornelia Street,” the previous song, in which Swift sings:

As if the street lights pointed in an arrow head
Leading us home

If the relationship ends, not only will she never walk Cornelia Street again, but she will also be lost without the traffic lights to guide her.

Asking the traffic lights shows her desperation and lack of direction because it implies that she is so desperate for a sign, that she is willing to look anywhere.","I ask the traffic lights if it’ll be alright
 They say, “I don’t know”",Taylor Swift,Death by a Thousand Cuts
74,8009,"<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning:","<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning: You have to do something before the end but it’s not your fault
 You have to do something before the end. Kanye idotes on kid having to take a break so soon and keep it going throughout their lives, physically excluding them from a “triple-whammy” (i.e.,lyrics & success). ",sampling,0.95,gpt2-medium,lyrics_meaning,," You have to do something before the end but it’s not your fault
 You have to do something before the end. Kanye idotes on kid having to take a break so soon and keep it going throughout their lives, physically excluding them from a “triple-whammy” (i.e.,lyrics & success). ","The reference to ‘the long haul’ suggests that they assumed their relationship would be forever, and the narrator seems confused, asking ‘how’d we get here so soon?’ The ‘here’ she refers to could be the here on the verge of their break up, or just the part in their relationship where she feels alone","And if this is the long haul
 How’d we get here so soon?",Taylor Swift,​coney island
75,10003,"<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning:","<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning: Emotions become so real through failure. When it’s over it’ll all become scars, even if they didnt’t hurt. This is misogynistic.

basics
basics
main song: Vertical (Narcovella) by Girls First

https://www.youtube.com/watch?v=cBzslwA5N4c ",sampling,0.95,gpt2-medium,lyrics_meaning,," Emotions become so real through failure. When it’s over it’ll all become scars, even if they didnt’t hurt. This is misogynistic.

basics
basics
main song: Vertical (Narcovella) by Girls First

https://www.youtube.com/watch?v=cBzslwA5N4c ",Because there is no point in saying the truth cause even bitter truth will scar your soul as u r saying it and it will scar the person and ur relationship as well,"I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars",Genius English Translations,BTS - Magic Shop (English Translation)
76,11008,<|startoftext|> lyrics: [Interlude]. meaning:,<|startoftext|> lyrics: [Interlude]. meaning: High school is all about rebellion because regardless of people getting you down or torturing you you manage it no matter where you grow up. This next song seems to be a rap contract clause. ,sampling,0.95,gpt2-medium,lyrics_meaning,, High school is all about rebellion because regardless of people getting you down or torturing you you manage it no matter where you grow up. This next song seems to be a rap contract clause. ,"The audio clip here is taken from a fight on June 27, 2016 before a concert due to a failed collaboration with rapper @Not_Linden. X then went to his show and “sucker punched” him, to which they continued to fight outside, with X winning in the end.

https://twitter.com/Not_Linden/status/747986526110425088",[Interlude],XXXTENTACION,YuNg BrAtZ
77,12005,"<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning:","<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning: He’s never feeling 5, he’s never feeling love once. ",sampling,0.95,gpt2-medium,lyrics_meaning,," He’s never feeling 5, he’s never feeling love once. ","Nicks told Billboard that this lyric was inspired by Tom Petty:

‘Edge of Seventeen’ is also a little bit about Tom. ‘He seemed broken hearted/Somethin’ within him,‘ that was [his wife] Jane talking about Tom. I bet a lot of people thought I was talking about me, but I was chronicling their relationship as she told it to me.

She also explained how Jane inspired the song’s title:

I asked Tom’s wife, Jane, when she met him. She said, ‘I met him at some point during the age of 17.’ But I thought she said, ‘The edge of 17.’ I said, ‘Jane, can I use that? Can I write a song called “Edge of Seventeen”?’","Well, he seemed broken hearted
 Somethin’ within him",Stevie Nicks,Edge of Seventeen
78,1001,"<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning:","<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning: “Here I go, on my own,” as in “I don’t need anyone” by the American band Wale, used as a sort of allegory for drug addict and often homeless teenage peers. 

Here’s Adele and her own fears: “I’m just scared that I’m going to disappear” ",sampling,0.95,gpt2-medium,lyrics_meaning,," “Here I go, on my own,” as in “I don’t need anyone” by the American band Wale, used as a sort of allegory for drug addict and often homeless teenage peers. 

Here’s Adele and her own fears: “I’m just scared that I’m going to disappear” ","Britney is ready to be a fully in control of her craft, without her management team pressurizing and influencing her decisions. She also started to write her own songs, most notably on her fourth studio album, In The Zone.

At some point, she also wanted to create her own record label.","Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...)",Britney Spears,Stronger
